speed,direction,direction_disp,x,y
48.578,324.8,20.3,240.81,143.72
45.676,324.96,15.517,243.54,142.71
44.263,325.24,12.354,246.18,141.98
41.354,325.54,5.5001,248.77,141.41
39.154,325.65,356.72,251.24,141.17
32.454,325.79,352.25,253.59,141.3
25.186,326.41,351.12,255.52,141.57
17.935,327,349.06,257.01,141.8
16.677,327.59,343.59,258.07,142
15.444,328.11,336.9,259.03,142.29
9.995,329.16,349.54,259.88,142.65
7.2314,330.99,5.6294,260.47,142.76
5.974,333.04,15.816,260.9,142.72
6.5531,334.47,101.99,261.25,142.62
5.2566,335.82,112.06,261.17,142.23
3.8722,336.52,99.754,261.05,141.94
6.0237,336.82,56.84,261.01,141.71
7.3866,337.08,85.886,261.21,141.41
12.185,337.22,99.528,261.24,140.97
14.566,337.16,105.54,261.12,140.25
13.583,337.13,103.63,260.88,139.41
13.717,337.02,105.76,260.69,138.61
10.798,336.97,113.96,260.47,137.82
9.8856,336.9,110.23,260.2,137.23
11.515,336.96,111.67,260,136.67
10.034,336.97,110.73,259.74,136.03
9.7844,336.81,104,259.53,135.47
6.4059,336.47,101.86,259.39,134.9
6.2994,335.87,95.606,259.31,134.52
6.2313,335.2,105.51,259.27,134.15
3.3822,334.29,94.493,259.17,133.79
2.7654,333.03,94.609,259.16,133.58
1.2786,331.41,267.89,259.14,133.42
9.4775,329.93,312.16,259.14,133.49
13.322,328.57,316.98,259.52,133.92
13.843,326.9,309.32,260.11,134.46
12.329,325.51,294.8,260.63,135.1
16.68,323.6,289.64,260.94,135.78
19.271,321.43,289.11,261.28,136.72
23.723,319.12,293.98,261.66,137.81
23.674,316.66,292.37,262.24,139.11
22.114,315.24,295.5,262.78,140.42
27.741,315,295.54,263.35,141.62
33.233,315.32,293.16,264.07,143.12
41.313,316.09,292.76,264.85,144.96
46.124,317.78,291.93,265.81,147.24
50.164,320.61,292.13,266.84,149.81
52.839,324.4,293.4,267.98,152.6
58.536,327.13,292.19,269.23,155.51
60.577,328.02,293.05,270.56,158.76
64.411,326.38,292.42,271.98,162.1
69.432,321.45,290.78,273.46,165.68
69.265,315.11,292.59,274.94,169.57
68.971,308.4,293.33,276.53,173.41
68.68,300.5,294.76,278.17,177.21
65.555,292.45,295.01,279.9,180.95
65.51,286.57,294.7,281.56,184.52
61.94,281.45,296.9,283.2,188.09
60.604,280.92,299.86,284.88,191.4
59.303,97.651,299.8,286.69,194.55
64.275,97.16,301.43,288.46,197.64
71.887,98.159,300.21,290.47,200.93
67.948,98.304,303.23,292.64,204.66
63.647,99.136,307.15,294.88,208.07
59.686,101.8,311.62,297.18,211.11
